From File: sample.ecpp
Here is the Output of EC++ Lexical Analyzer:

Lexemes                                  Tokens
//                                       Division_ArOperator
program                                  Identifier
that                                     Identifier
greet                                    Identifier
the                                      Identifier
user                                     Identifier
int                                      Keyword
main                                     Identifier
(                                        Open_Parenthesis
)                                        Close_Parenthesis
{                                        Open_CurlyB
string                                   Keyword
int                                      Keyword
;                                        Semi-colon
read                                     Keyword
>>                                       GreaterThan_BoolOperator
name                                     Identifier
;                                        Semi-colon
display                                  Keyword
<<                                       LessThan_BoolOperator
"                                        Not Recognized as a Token
Hello                                    Identifier
"                                        Not Recognized as a Token
<<                                       LessThan_BoolOperator
name                                     Identifier
<<                                       LessThan_BoolOperator
endl                                     Identifier
;                                        Semi-colon
return                                   Reserved_Words
0                                        Int_literals
;                                        Semi-colon
check                                    Identifier
;                                        Semi-colon
}                                        Close_CurlyB
